,movieId,title,rank,mean,no,genres,imdbId,tmdbId,posters
0,318,"Shawshank Redemption, The (1994)",22.54890566553701,4.429022082018927,1,Crime|Drama,111161,278.0,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX300.jpg
1,356,Forrest Gump (1994),21.65653495440729,4.164133738601824,2,Comedy|Drama|Romance|War,109830,13.0,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
2,296,Pulp Fiction (1994),21.481772067647565,4.197068403908795,3,Comedy|Crime|Drama|Thriller,110912,680.0,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
3,2571,"Matrix, The (1999)",21.0592578568724,4.192446043165468,4,Action|Sci-Fi|Thriller,133093,603.0,https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
4,593,"Silence of the Lambs, The (1991)",20.948566863078,4.161290322580645,5,Crime|Horror|Thriller,102926,274.0,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
5,260,Star Wars: Episode IV - A New Hope (1977),20.83761548234307,4.231075697211155,6,Action|Adventure|Sci-Fi,76759,11.0,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg
6,2959,Fight Club (1999),20.545303490783084,4.272935779816514,7,Action|Crime|Drama|Thriller,137523,550.0,https://m.media-amazon.com/images/M/MV5BODQ0OWJiMzktYjNlYi00MzcwLThlZWMtMzRkYTY4ZDgxNzgxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
7,527,Schindler's List (1993),20.38142414860681,4.225,8,Drama|War,108052,424.0,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
8,858,"Godfather, The (1972)",20.247581269349844,4.2890625,9,Crime|Drama,68646,238.0,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
9,1196,Star Wars: Episode V - The Empire Strikes Back (1980),20.218596393408948,4.2156398104265405,10,Action|Adventure|Sci-Fi,80684,1891.0,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
